Afișare tranzacții sortate descrescător(după sumă),22-05-2022 22:57:35
Afișare extras de cont pentru un client,22-05-2022 23:01:56
Afișare extras de cont pentru un client,22-05-2022 23:04:54
Afișare extras de cont pentru un client,22-05-2022 23:05:51
Afișare extras de cont pentru un client,22-05-2022 23:08:14
Afișare tranzacții sortate descrescător(după sumă),22-05-2022 23:08:36
Afișare tranzacții sortate descrescător(după sumă),22-05-2022 23:13:09
Afișare tranzacții sortate descrescător(după sumă),22-05-2022 23:41:19
Afișare tranzacții sortate descrescător(după sumă),22-05-2022 23:42:40
Afișare extras de cont pentru un client,23-05-2022 00:07:14
Adăugare client nou,23-05-2022 00:18:08
Ștergere client,23-05-2022 00:18:23
Afișare detalii bancă,23-05-2022 00:18:30
Adăugare cont pentru un client,23-05-2022 00:19:22
Închidere și ștergere cont,23-05-2022 00:19:42
Eliminare card atașat unui cont,23-05-2022 00:22:05
Eliminare card atașat unui cont,23-05-2022 00:23:27
Eliminare card atașat unui cont,23-05-2022 00:25:07
Eliminare card atașat unui cont,23-05-2022 00:29:42
Eliminare card atașat unui cont,23-05-2022 00:31:09
Eliminare card atașat unui cont,23-05-2022 00:33:37
Eliminare card atașat unui cont,23-05-2022 00:35:20
Eliminare card atașat unui cont,23-05-2022 00:36:21
Afișare detalii bancă,23-05-2022 00:51:58
Afișare detalii bancă,23-05-2022 01:22:18
Afișare detalii bancă,23-05-2022 01:27:00
Afișare detalii bancă,23-05-2022 01:29:03
Afișare detalii bancă,23-05-2022 02:04:06
Afișare detalii bancă,23-05-2022 02:06:54
Afișare date cont client,23-05-2022 10:02:32
Afișare date cont client,23-05-2022 10:04:16
Afișare date cont client,23-05-2022 10:04:35
Adăugare client nou,23-05-2022 10:06:43
Adăugare client nou,23-05-2022 10:22:20
Afișare date client,23-05-2022 10:24:05
Afișare detalii bancă,23-05-2022 10:30:26
Afișare date client,23-05-2022 10:30:41
Adăugare cont pentru un client,23-05-2022 10:36:17
Afișare date cont client,23-05-2022 10:37:10
Atașare card la cont,23-05-2022 10:37:40
Atașare card la cont,23-05-2022 10:38:39
Atașare card la cont,23-05-2022 10:39:25
Afișare date carduri atașate unui cont,23-05-2022 10:42:23
Adăugare numerar,23-05-2022 10:43:48
Retragere numerar,23-05-2022 10:44:33
Retragere numerar,23-05-2022 10:44:58
Efectuare tranzacție,23-05-2022 10:46:07
Afișare tranzacții sortate descrescător(după sumă),23-05-2022 10:50:05
Efectuare tranzacție,23-05-2022 10:51:52
Afișare tranzacții sortate descrescător(după sumă),23-05-2022 10:52:38
Afișare extras de cont pentru un client,23-05-2022 10:55:46
Ștergere client,23-05-2022 10:57:59
Adăugare cont pentru un client,23-05-2022 10:59:30
Închidere și ștergere cont,23-05-2022 10:59:54
Eliminare card atașat unui cont,23-05-2022 11:01:00
Eliminare card atașat unui cont,23-05-2022 11:06:07
Afișare detalii bancă,23-05-2022 12:55:28
Afișare detalii bancă,23-05-2022 13:45:33
Adăugare client nou,23-05-2022 13:45:52
Afișare detalii bancă,23-05-2022 13:45:59
Actualizare date client,23-05-2022 13:46:25
Afișare detalii bancă,23-05-2022 13:47:03
Actualizare date client,23-05-2022 13:47:24
Actualizare adresă client,23-05-2022 13:52:37
Afișare detalii bancă,23-05-2022 13:52:42
Adăugare client nou,23-05-2022 14:01:11
Actualizare date client,23-05-2022 14:01:39
Actualizare adresă client,23-05-2022 14:02:59
Atașare card la cont,23-05-2022 14:46:01
Atașare card la cont,23-05-2022 14:46:18
Atașare card la cont,23-05-2022 14:46:30
Afișare date carduri atașate unui cont,23-05-2022 14:48:24
Actualizare PIN card client,23-05-2022 15:27:34
Afișare date carduri atașate unui cont,23-05-2022 15:27:56
Actualizare PIN card client,23-05-2022 15:29:48
Actualizare PIN card client,23-05-2022 15:32:21
Afișare date carduri atașate unui cont,23-05-2022 15:33:05
Actualizare PIN card client,23-05-2022 15:45:44
Actualizare PIN card client,23-05-2022 15:50:19
Atașare card la cont,23-05-2022 16:07:22
Atașare card la cont,23-05-2022 16:11:15
Atașare card la cont,23-05-2022 16:11:37
Afișare date carduri atașate unui cont,23-05-2022 16:11:59
Actualizare PIN card client,23-05-2022 16:12:42
Afișare detalii bancă,23-05-2022 16:46:57
Adăugare client nou,23-05-2022 16:47:15
Afișare detalii bancă,23-05-2022 16:47:20
Afișare date client,23-05-2022 16:47:52
Actualizare date client,23-05-2022 16:48:08
Afișare detalii bancă,23-05-2022 16:48:11
Actualizare adresă client,23-05-2022 16:48:38
Afișare detalii bancă,23-05-2022 16:48:40
Adăugare cont pentru un client,23-05-2022 16:48:54
Afișare date cont client,23-05-2022 16:50:10
Atașare card la cont,23-05-2022 16:50:24
Afișare date carduri atașate unui cont,23-05-2022 16:50:34
Actualizare PIN card client,23-05-2022 16:51:05
Actualizare PIN card client,23-05-2022 16:51:42
Adăugare numerar,23-05-2022 16:52:08
Retragere numerar,23-05-2022 16:52:15
Efectuare tranzacție,23-05-2022 17:02:02
Afișare tranzacții sortate descrescător(după sumă),23-05-2022 17:02:19
Afișare extras de cont pentru un client,23-05-2022 17:03:20
Afișare extras de cont pentru un client,23-05-2022 17:03:35
Adăugare client nou,23-05-2022 17:04:04
Ștergere client,23-05-2022 17:04:12
Închidere și ștergere cont,23-05-2022 17:05:21
Adăugare client nou,23-05-2022 17:05:31
Închidere și ștergere cont,23-05-2022 17:06:03
Adăugare cont pentru un client,23-05-2022 17:06:19
Atașare card la cont,23-05-2022 17:06:38
Eliminare card atașat unui cont,23-05-2022 17:06:50
Afișare date carduri atașate unui cont,23-05-2022 17:07:22
Închidere și ștergere cont,23-05-2022 17:07:29
Afișare detalii bancă,23-05-2022 17:07:55
Ștergere client,23-05-2022 17:08:08
Afișare detalii bancă,23-05-2022 17:15:09
Adăugare client nou,23-05-2022 17:15:39
Afișare detalii bancă,23-05-2022 17:15:48
Afișare date client,23-05-2022 17:16:54
Actualizare date client,23-05-2022 17:17:12
Actualizare adresă client,23-05-2022 17:17:33
Adăugare cont pentru un client,23-05-2022 17:18:38
Adăugare cont pentru un client,23-05-2022 17:18:46
Adăugare cont pentru un client,23-05-2022 17:18:51
Afișare date cont client,23-05-2022 17:19:22
Atașare card la cont,23-05-2022 17:19:48
Afișare date carduri atașate unui cont,23-05-2022 17:20:23
Actualizare PIN card client,23-05-2022 17:22:08
Adăugare numerar,23-05-2022 17:22:25
Retragere numerar,23-05-2022 17:22:47
Retragere numerar,23-05-2022 17:23:05
Efectuare tranzacție,23-05-2022 17:24:01
Efectuare tranzacție,23-05-2022 17:34:53
Afișare date carduri atașate unui cont,23-05-2022 17:36:25
Afișare detalii bancă,23-05-2022 17:38:58
Afișare date cont client,23-05-2022 17:39:20
Afișare date cont client,23-05-2022 17:39:43
Afișare date cont client,23-05-2022 17:39:53
Afișare date cont client,23-05-2022 17:40:04
Afișare date cont client,23-05-2022 17:40:18
Actualizare PIN card client,23-05-2022 17:40:48
Actualizare PIN card client,23-05-2022 17:41:22
Adăugare numerar,23-05-2022 17:41:48
Retragere numerar,23-05-2022 17:42:20
Retragere numerar,23-05-2022 17:42:37
Efectuare tranzacție,23-05-2022 17:47:19
Afișare tranzacții sortate descrescător(după sumă),23-05-2022 17:49:58
Afișare extras de cont pentru un client,23-05-2022 17:50:19
Ștergere client,23-05-2022 17:54:23
Ștergere client,23-05-2022 17:54:28
Afișare detalii bancă,23-05-2022 18:41:24
Adăugare client nou,23-05-2022 18:41:53
Afișare date client,23-05-2022 18:42:09
Ștergere client,23-05-2022 18:42:17
Afișare detalii bancă,23-05-2022 18:43:39
Adăugare client nou,23-05-2022 18:43:56
Afișare date client,23-05-2022 18:44:05
Actualizare date client,23-05-2022 18:44:24
Actualizare adresă client,23-05-2022 18:44:55
Ștergere client,23-05-2022 18:45:20
